Date,Open,High,Low,Close ,Adj Close ,Volume
6-Oct-23,105.73,108.27,105.11,107.17,101.79,"25,363,400"
5-Oct-23,109.8,110.9,108.7,108.99,103.51,"20,128,800"
4-Oct-23,114.05,114.09,110.5,111.5,105.9,"19,622,200"
3-Oct-23,115.44,116.44,115.03,115.83,110.01,"13,297,100"
2-Oct-23,117.53,117.79,114.55,115.63,109.82,"14,395,000"
29-Sep-23,119.1,119.18,116.73,117.58,111.67,"18,810,700"
28-Sep-23,119.98,120.7,118.19,119.47,113.47,"16,808,100"
27-Sep-23,117.89,120.5,117.4,120.2,114.16,"23,976,200"
26-Sep-23,115.5,116.73,115.37,116.41,110.56,"11,805,400"
25-Sep-23,115.09,116.65,114.83,116.23,110.39,"11,316,000"
22-Sep-23,115.71,116.68,114.81,114.94,109.16,"13,197,300"
21-Sep-23,116.98,117.37,114.6,114.76,108.99,"14,400,600"
20-Sep-23,116.54,118.02,116.32,116.4,110.55,"11,879,900"
19-Sep-23,118.62,118.84,116.61,117.33,111.43,"12,562,900"
18-Sep-23,117.53,118.24,116.7,117.64,111.73,"14,045,300"
15-Sep-23,117.9,118.51,116.5,116.7,110.84,"34,545,100"
14-Sep-23,117.55,118.66,117.33,118.52,112.57,"15,210,700"
13-Sep-23,117.41,117.96,115.9,116.44,110.59,"13,472,800"
12-Sep-23,115.34,117.67,115.27,117.49,111.59,"20,145,800"
11-Sep-23,116.18,116.68,113.57,114.16,108.42,"14,383,600"
8-Sep-23,114.53,116.05,114.32,115.61,109.8,"14,283,200"
7-Sep-23,114.65,115.85,113.7,113.95,108.22,"13,248,500"
6-Sep-23,113.48,114.59,113.23,114.51,108.76,"13,325,500"
5-Sep-23,114.1,115.83,113.5,113.53,107.83,"18,304,000"
1-Sep-23,112.2,113.82,112.2,113.52,107.82,"14,828,400"
31-Aug-23,111.12,111.42,110.62,111.19,105.6,"17,479,800"
30-Aug-23,110.44,111.14,109.98,110.88,105.31,"11,922,100"
29-Aug-23,109.66,110.02,108.42,109.81,104.29,"9,665,000"
