Date,Close/Last,Volume,Open,High,Low,,,,,,,,,
2/13/23,$171.01 ,9442889,$171.32 ,$171.90 ,$169.77 ,,,,,,,,,
2/10/23,$171.97 ,11602390,$170.80 ,$172.73 ,$170.78 ,,,,,,,,,
2/9/23,$168.44 ,10123360,$170.23 ,$170.66 ,$168.00 ,,,,,,,,,
2/8/23,$170.00 ,9784725,$172.48 ,$174.07 ,$169.47 ,,,,,,,,,
2/7/23,$174.09 ,10256500,$170.07 ,$174.39 ,$169.61 ,,,,,,,,,
2/6/23,$169.64 ,7659492,$169.56 ,$170.12 ,$167.37 ,,,,,,,,,
2/3/23,$169.45 ,8404871,$169.86 ,$171.55 ,$168.49 ,,,,,,,,,
2/2/23,$169.01 ,10463350,$171.13 ,$171.43 ,$166.82 ,,,,,,,,,
2/1/23,$171.36 ,11526400,$173.31 ,$173.66 ,$169.54 ,,,,,,,,,
1/31/23,$174.02 ,14481280,$172.75 ,$174.63 ,$171.42 ,,,,,,,,,
1/30/23,$174.20 ,11476040,$178.00 ,$178.34 ,$173.67 ,,,,,,,,,
1/27/23,$179.45 ,19654690,$184.23 ,$184.23 ,$177.92 ,,,,,,,,,
1/26/23,$187.79 ,14307820,$184.99 ,$187.81 ,$183.48 ,,,,,,,,,
1/25/23,$179.08 ,6727512,$179.29 ,$180.03 ,$176.35 ,,,,,,,,,
1/24/23,$180.83 ,5988995,$181.09 ,$182.00 ,$178.70 ,,,,,,,,,
1/23/23,$180.66 ,8381315,$181.21 ,$182.55 ,$180.03 ,,,,,,,,,
1/20/23,$180.90 ,10477910,$178.81 ,$181.36 ,$177.52 ,,,,,,,,,
1/19/23,$179.00 ,5907163,$176.61 ,$179.95 ,$176.16 ,,,,,,,,,
1/18/23,$177.23 ,8899185,$180.82 ,$182.38 ,$176.94 ,,,,,,,,,
1/17/23,$180.49 ,10697750,$178.44 ,$181.32 ,$178.18 ,,,,,,,,,
1/13/23,$177.56 ,5726331,$177.09 ,$177.99 ,$175.68 ,,,,,,,,,
1/12/23,$177.08 ,6891351,$175.99 ,$178.37 ,$175.90 ,,,,,,,,,
1/11/23,$175.20 ,6962580,$177.89 ,$178.14 ,$174.30 ,,,,,,,,,
1/10/23,$176.04 ,8307049,$176.40 ,$176.71 ,$173.72 ,,,,,,,,,
1/9/23,$175.18 ,8385636,$178.26 ,$178.33 ,$174.38 ,,,,,,,,,
1/6/23,$176.56 ,7191222,$177.02 ,$179.39 ,$175.70 ,,,,,,,,,
1/5/23,$175.24 ,6088214,$171.50 ,$176.19 ,$171.24 ,,,,,,,,,
1/4/23,$172.14 ,7684494,$170.95 ,$174.29 ,$170.85 ,,,,,,,,,
1/3/23,$173.99 ,7565431,$178.04 ,$179.00 ,$171.51 ,,,,,,,,,
12/30/22,$179.49 ,5005094,$178.03 ,$179.95 ,$177.70 ,,,,,,,,,
12/29/22,$178.32 ,4142090,$176.65 ,$179.20 ,$176.65 ,,,,,,,,,
12/28/22,$176.98 ,4494350,$178.86 ,$179.30 ,$175.93 ,,,,,,,,,
12/27/22,$179.63 ,5167962,$178.36 ,$180.23 ,$177.40 ,,,,,,,,,
12/23/22,$177.40 ,6079120,$174.10 ,$177.58 ,$173.69 ,,,,,,,,,
12/22/22,$172.08 ,5756793,$175.16 ,$175.21 ,$168.33 ,,,,,,,,,
12/21/22,$174.70 ,5479426,$175.19 ,$175.96 ,$173.16 ,,,,,,,,,
12/20/22,$172.67 ,6199128,$169.81 ,$173.29 ,$169.60 ,,,,,,,,,
12/19/22,$169.88 ,7131563,$170.11 ,$170.82 ,$168.25 ,,,,,,,,,
12/16/22,$168.72 ,23876040,$168.53 ,$170.15 ,$167.10 ,,,,,,,,,
12/15/22,$171.04 ,7273274,$170.60 ,$171.37 ,$168.06 ,,,,,,,,,
12/14/22,$172.33 ,7045514,$174.49 ,$174.92 ,$171.27 ,,,,,,,,,
12/13/22,$173.53 ,7838780,$173.57 ,$174.46 ,$172.48 ,,,,,,,,,
12/12/22,$169.75 ,9364900,$168.93 ,$170.52 ,$167.71 ,,,,,,,,,
12/9/22,$168.00 ,10754280,$172.30 ,$173.19 ,$167.93 ,,,,,,,,,
12/8/22,$173.54 ,8076601,$176.25 ,$176.40 ,$172.03 ,,,,,,,,,
12/7/22,$172.52 ,6936345,$171.06 ,$174.58 ,$170.85 ,,,,,,,,,
12/6/22,$172.01 ,8764989,$175.51 ,$178.06 ,$171.12 ,,,,,,,,,
12/5/22,$176.56 ,8162195,$182.67 ,$182.95 ,$174.63 ,,,,,,,,,
12/2/22,$181.03 ,6852304,$181.53 ,$183.63 ,$179.93 ,,,,,,,,,
12/1/22,$182.49 ,5217378,$184.26 ,$184.55 ,$181.44 ,,,,,,,,,
11/30/22,$183.31 ,10936710,$182.85 ,$183.34 ,$179.62 ,,,,,,,,,
11/29/22,$181.03 ,6985359,$180.26 ,$181.85 ,$179.65 ,,,,,,,,,
11/28/22,$178.36 ,9367156,$180.28 ,$181.47 ,$177.96 ,,,,,,,,,
11/25/22,$183.70 ,2796407,$184.89 ,$185.30 ,$183.31 ,,,,,,,,,
11/23/22,$184.24 ,5831218,$183.21 ,$185.15 ,$182.58 ,,,,,,,,,
11/22/22,$185.89 ,9017994,$183.75 ,$186.56 ,$183.08 ,,,,,,,,,
11/21/22,$181.24 ,8432869,$179.73 ,$181.70 ,$175.82 ,,,,,,,,,
11/18/22,$182.99 ,7661469,$180.96 ,$183.41 ,$179.65 ,,,,,,,,,
11/17/22,$184.09 ,6553224,$181.51 ,$184.23 ,$180.27 ,,,,,,,,,
11/16/22,$184.99 ,7941075,$186.54 ,$187.82 ,$183.68 ,,,,,,,,,
11/15/22,$188.05 ,7747319,$187.12 ,$188.44 ,$185.27 ,,,,,,,,,
11/14/22,$186.55 ,9722363,$186.31 ,$189.68 ,$186.18 ,,,,,,,,,
11/11/22,$186.46 ,8428326,$184.05 ,$187.10 ,$183.89 ,,,,,,,,,
11/10/22,$181.30 ,6981533,$182.23 ,$182.33 ,$178.04 ,,,,,,,,,
11/9/22,$177.93 ,8021724,$183.61 ,$183.81 ,$177.22 ,,,,,,,,,
11/8/22,$185.34 ,6308242,$185.32 ,$186.25 ,$183.86 ,,,,,,,,,
11/7/22,$185.61 ,7577990,$182.50 ,$186.38 ,$182.11 ,,,,,,,,,
11/4/22,$183.42 ,7491859,$184.84 ,$185.40 ,$180.60 ,,,,,,,,,
11/3/22,$181.13 ,6607761,$177.97 ,$182.19 ,$177.41 ,,,,,,,,,
11/2/22,$178.50 ,8095097,$180.93 ,$182.90 ,$178.27 ,,,,,,,,,
11/1/22,$182.22 ,9185616,$183.87 ,$184.50 ,$181.90 ,,,,,,,,,
10/31/22,$180.90 ,13281030,$178.06 ,$183.84 ,$178.06 ,,,,,,,,,
10/28/22,$179.98 ,10773910,$181.47 ,$182.86 ,$176.53 ,,,,,,,,,
10/27/22,$177.90 ,9177445,$179.89 ,$181.40 ,$177.48 ,,,,,,,,,
10/26/22,$177.09 ,6867398,$175.32 ,$178.48 ,$175.17 ,,,,,,,,,
10/25/22,$174.93 ,7280616,$173.06 ,$175.00 ,$172.17 ,,,,,,,,,
10/24/22,$173.13 ,7007718,$172.08 ,$174.67 ,$171.61 ,,,,,,,,,
10/21/22,$173.19 ,7971263,$169.15 ,$173.84 ,$168.85 ,,,,,,,,,
10/20/22,$168.96 ,8871544,$169.30 ,$171.82 ,$167.94 ,,,,,,,,,
10/19/22,$168.00 ,9766782,$163.59 ,$169.21 ,$163.59 ,,,,,,,,,
10/18/22,$162.72 ,5631214,$162.36 ,$163.31 ,$158.96 ,,,,,,,,,
10/17/22,$161.31 ,5890355,$163.29 ,$164.91 ,$161.10 ,,,,,,,,,
10/14/22,$160.14 ,7330891,$164.04 ,$165.46 ,$159.93 ,,,,,,,,,
10/13/22,$165.28 ,10227530,$156.35 ,$165.99 ,$156.35 ,,,,,,,,,
10/12/22,$157.64 ,4942040,$156.14 ,$158.81 ,$155.52 ,,,,,,,,,
10/11/22,$157.17 ,7533526,$154.75 ,$159.93 ,$154.11 ,,,,,,,,,
10/10/22,$157.14 ,5904458,$161.00 ,$161.47 ,$156.44 ,,,,,,,,,
10/7/22,$160.03 ,9972528,$162.51 ,$163.93 ,$159.06 ,,,,,,,,,
10/6/22,$161.42 ,9498285,$157.34 ,$161.94 ,$157.20 ,,,,,,,,,
10/5/22,$158.53 ,10633060,$155.84 ,$159.73 ,$154.80 ,,,,,,,,,
10/4/22,$157.63 ,9520192,$154.43 ,$157.88 ,$153.63 ,,,,,,,,,
10/3/22,$151.73 ,9597434,$148.97 ,$152.34 ,$148.30 ,,,,,,,,,
9/30/22,$143.67 ,9402735,$144.03 ,$145.14 ,$142.49 ,,,,,,,,,
9/29/22,$144.77 ,8197558,$144.51 ,$145.41 ,$142.27 ,,,,,,,,,
9/28/22,$145.78 ,8279791,$142.08 ,$146.44 ,$141.40 ,,,,,,,,,
9/27/22,$141.02 ,10121030,$142.29 ,$143.77 ,$140.46 ,,,,,,,,,
9/26/22,$140.96 ,9443962,$143.57 ,$145.05 ,$140.89 ,,,,,,,,,
9/23/22,$144.77 ,13919660,$149.75 ,$150.18 ,$143.66 ,,,,,,,,,
